job_id,@model,@weather,@type,@north,@ch,@floor,@wwr_KL_B,@ach,@tmin,@tmax,@fabric,@glazing,BD1_HA26c_occ,BD1_TM52_C1,BD1_HA26p_occ,@job_s,@wwr_KL,@wwr_B
EP_CP_P1201_000000051,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_60,8,22,24,v1,v1,442.75,0.016,0.051,00051,70,60
EP_CP_P1201_000000052,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_50,1,22,24,v1,v1,1941.75,0.267,0.222,00052,70,50
EP_CP_P1201_000000053,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_50,2,22,24,v1,v1,1078.5,0.094,0.123,00053,70,50
EP_CP_P1201_000000054,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_50,4,22,24,v1,v1,591.0,0.023,0.067,00054,70,50
EP_CP_P1201_000000055,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_50,8,22,24,v1,v1,384.25,0.009,0.044,00055,70,50
EP_CP_P1201_000000056,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_40,1,22,24,v1,v1,1770.25,0.197,0.202,00056,70,40
EP_CP_P1201_000000057,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_40,2,22,24,v1,v1,924.75,0.052,0.106,00057,70,40
EP_CP_P1201_000000058,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_40,4,22,24,v1,v1,492.75,0.012,0.056,00058,70,40
EP_CP_P1201_000000059,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_40,8,22,24,v1,v1,313.0,0.004,0.036,00059,70,40
EP_CP_P1201_000000060,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_60,1,22,24,v1,v1,2051.25,0.318,0.234,00060,60,60
EP_CP_P1201_000000061,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_60,2,22,24,v1,v1,1199.75,0.127,0.137,00061,60,60
EP_CP_P1201_000000062,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_60,4,22,24,v1,v1,675.75,0.036,0.077,00062,60,60
EP_CP_P1201_000000063,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_60,8,22,24,v1,v1,441.75,0.016,0.05,00063,60,60
