job_id,@job_s,@model,@weather,@north,@floor,@ach,@wwr_KL,@wwr_B,BD1_HA26p_occ
EP_CP_P1201_000000078,00078,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,50,40,0.055
EP_CP_P1201_000000079,00079,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,50,40,0.035
EP_CP_P1201_000000080,00080,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,90,90,0.325
EP_CP_P1201_000000081,00081,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,90,90,0.234
EP_CP_P1201_000000082,00082,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,90,90,0.136
EP_CP_P1201_000000083,00083,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,90,90,0.09
EP_CP_P1201_000000084,00084,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,90,80,0.322
EP_CP_P1201_000000085,00085,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,90,80,0.224
EP_CP_P1201_000000086,00086,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,90,80,0.127
EP_CP_P1201_000000087,00087,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,90,80,0.081
EP_CP_P1201_000000088,00088,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,90,70,0.317
EP_CP_P1201_000000089,00089,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,90,70,0.212
EP_CP_P1201_000000090,00090,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,90,70,0.115
EP_CP_P1201_000000091,00091,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,90,70,0.073
EP_CP_P1201_000000092,00092,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,90,60,0.311
EP_CP_P1201_000000093,00093,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,90,60,0.2
EP_CP_P1201_000000094,00094,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,90,60,0.105
EP_CP_P1201_000000095,00095,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,90,60,0.064
EP_CP_P1201_000000096,00096,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,90,50,0.304
EP_CP_P1201_000000097,00097,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,90,50,0.185
